date,city,price
1988-08-01,WA-Seattle,
1988-08-01,Composite-10,75.7
1988-08-01,Composite-20,
1988-08-01,National-US,72.19
1988-09-01,AZ-Phoenix,
1988-09-01,CA-Los Angeles,81.23
1988-09-01,CA-San Diego,66.45
1988-09-01,CA-San Francisco,59.5
1988-09-01,CO-Denver,48.37
1988-09-01,DC-Washington,83.59
1988-09-01,FL-Miami,75.63
1988-09-01,FL-Tampa,80.78
1988-09-01,GA-Atlanta,
1988-09-01,IL-Chicago,68.71
1988-09-01,MA-Boston,75.38
1988-09-01,MI-Detroit,
1988-09-01,MN-Minneapolis,
1988-09-01,NC-Charlotte,69.93
1988-09-01,NV-Las Vegas,69.06
1988-09-01,NY-New York,85.54
1988-09-01,OH-Cleveland,60.6
1988-09-01,OR-Portland,43.72
1988-09-01,TX-Dallas,
1988-09-01,WA-Seattle,
1988-09-01,Composite-10,76.4
1988-09-01,Composite-20,
1988-09-01,National-US,72.58
1988-10-01,AZ-Phoenix,
1988-10-01,CA-Los Angeles,82.94
1988-10-01,CA-San Diego,67.47
1988-10-01,CA-San Francisco,60.37
1988-10-01,CO-Denver,48.27
1988-10-01,DC-Washington,83.94
1988-10-01,FL-Miami,75.86
1988-10-01,FL-Tampa,80.84
1988-10-01,GA-Atlanta,
1988-10-01,IL-Chicago,69.37
1988-10-01,MA-Boston,75.25
1988-10-01,MI-Detroit,
1988-10-01,MN-Minneapolis,
1988-10-01,NC-Charlotte,70.1
1988-10-01,NV-Las Vegas,69.19
1988-10-01,NY-New York,85.14
1988-10-01,OH-Cleveland,60.84
1988-10-01,OR-Portland,44.02
1988-10-01,TX-Dallas,
1988-10-01,WA-Seattle,
1988-10-01,Composite-10,76.9
1988-10-01,Composite-20,
1988-10-01,National-US,72.83
1988-11-01,AZ-Phoenix,
1988-11-01,CA-Los Angeles,84.69
1988-11-01,CA-San Diego,68.62
1988-11-01,CA-San Francisco,61.31
1988-11-01,CO-Denver,47.86
1988-11-01,DC-Washington,84.68
1988-11-01,FL-Miami,76.09
1988-11-01,FL-Tampa,80.61
1988-11-01,GA-Atlanta,
1988-11-01,IL-Chicago,68.27
1988-11-01,MA-Boston,75.01
1988-11-01,MI-Detroit,
1988-11-01,MN-Minneapolis,
1988-11-01,NC-Charlotte,69.56
1988-11-01,NV-Las Vegas,68.64
1988-11-01,NY-New York,84.82
1988-11-01,OH-Cleveland,60.88
1988-11-01,OR-Portland,44.05
1988-11-01,TX-Dallas,
1988-11-01,WA-Seattle,
1988-11-01,Composite-10,77.28
1988-11-01,Composite-20,
1988-11-01,National-US,73.07
1988-12-01,AZ-Phoenix,
1988-12-01,CA-Los Angeles,85.97
1988-12-01,CA-San Diego,69.84
1988-12-01,CA-San Francisco,62.2
1988-12-01,CO-Denver,47.36
1988-12-01,DC-Washington,85.74
1988-12-01,FL-Miami,76.19
1988-12-01,FL-Tampa,80.74
1988-12-01,GA-Atlanta,
1988-12-01,IL-Chicago,67.7
1988-12-01,MA-Boston,74.79
1988-12-01,MI-Detroit,
1988-12-01,MN-Minneapolis,
1988-12-01,NC-Charlotte,69.7
1988-12-01,NV-Las Vegas,67.98
1988-12-01,NY-New York,84.33
1988-12-01,OH-Cleveland,61.06
1988-12-01,OR-Portland,44.24
1988-12-01,TX-Dallas,
1988-12-01,WA-Seattle,
1988-12-01,Composite-10,77.58
1988-12-01,Composite-20,
1988-12-01,National-US,73.29
1989-01-01,AZ-Phoenix,67.54
